Study Name,Authors,Year,DOI/URL,Dataset,Study Description,Paradigm Type,Stimulus Type,Stimulus Description,Composer,Passage Name,Passage Length,Musical Features Analyzed,Task Description,Number of Participants,Demographics,Musical Training,EEG System Used,Channel Count,Findings,Sampling Rate,Recording Environment,Data Format,Preprocessing,License,EEG Analysis Techniques,Statistical Tests,Event Markers,Publication
EEG-Based Emotion Recognition in Music Listening,"Yuan-Pin Lin, Chi-Hong Wang, Tzyy-Ping Jung, Tien-Lin Wu, Shyh-Kang Jeng, Jeng-Ren Duann, Jyh-Horng Chen",2010,https://doi.org/10.1109/TBME.2010.2048568,NA,"This study used EEG power and asymmetry metrics to classify music-induced emotions (joy, anger, sadness, pleasure) with high accuracy",Controlled,Musical Excerpt,Film soundtrack excerpts categorized by emotion,NA,NA,30 seconds per excerpt (16 total),"Valence, Arousal, Alpha asymmetry, Theta, Beta, Gamma, PSD, DASM12, RASM12, Classification accuracy",Passive listening with eyes closed; subjects labeled emotions on 2D valence-arousal grid after each trial,26,"Healthy adults (mean age 24.4 ± 2.5), 16 males, 10 females",No Formal Training,Neuroscan system,"32 channels, 10-20 system",DASM12 with SVM achieved 82.29% classification accuracy; frontal and parietal features were most informative; top-30 subject-independent features identified,500 Hz,Sound-controlled lab room with closed eyes,EEG traces digitized and FFT applied,"Visual artifact rejection, Bandpass filter (1–100 Hz), Notch filter (60 Hz), STFT, Normalization",© IEEE 2010,"Power spectrum, Differential and rational asymmetry (DASM12, RASM12), SVM, MLP classification","10×10-fold cross-validation, t-tests, ANOVA, F-score feature selection, Confusion matrix",Trial-onset of 30s film music clip,IEEE Transactions on Biomedical Engineering 57(7):1798–1806
Tagging the Neuronal Entrainment to Beat and Meter,"Sylvie Nozaradan, Isabelle Peretz, Marcus Missal, André Mouraux",2011,https://doi.org/10.1523/JNEUROSCI.0411-11.2011,NA,EEG was recorded during beat perception and imagined meter tasks to directly assess neural entrainment.,Controlled,Synthesized Music/Tone,333.3 Hz tone with 2.4 Hz beat embedded via amplitude modulation,NA,NA,33 seconds,"Beat entrainment, Steady-State EP, Frequency tagging",Detect 4 ms interruption in pseudo-periodic beat sequence (control condition),8,"Adults (3 female, 7 right-handed), mean age 30 ± 4, 3 with 15–25 years musical training, 5 amateur/dance experience","Mixed Groups, Extensive Training (>10 years)","Waveguard64 cap, ANT Neuro amplifier","64 channels, 10-10 system 4 EOG",Clear EEG response at 2.4 Hz (beat) across all tasks; no difference in beat amplitude across conditions.,1000 Hz,Electrically shielded EEG booth,Digital EEG traces,"0.1 Hz high-pass, ICA blink removal, DFT, noise subtraction",Society for Neuroscience,"Discrete Fourier Transform, Steady-State EP amplitude extraction, ICA","Repeated-measures ANOVA, Paired t-tests, One-sample t-tests",Time-locked to beat onset (2.4 Hz),Journal of Neuroscience 31(28):10234–10240
Tagging the Neuronal Entrainment to Beat and Meter,"Sylvie Nozaradan, Isabelle Peretz, Marcus Missal, André Mouraux",2011,https://doi.org/10.1523/JNEUROSCI.0411-11.2011,NA,EEG was recorded during beat perception and imagined meter tasks to directly assess neural entrainment.,Controlled,Synthesized Music/Tone,Same 2.4 Hz beat tone with binary (1.2 Hz) meter imagined,NA,NA,33 seconds,"Meter entrainment (binary), Frequency-tagged EEG, Beat processing",Imagine binary meter while listening to 2.4 Hz beat sequence,8,"Adults (3 female, 7 right-handed), mean age 30 ± 4, 3 with 15–25 years musical training, 5 amateur/dance experience","Mixed Groups, Extensive Training (>10 years)","Waveguard64 cap, ANT Neuro amplifier","64 channels, 10-10 system 4 EOG",1.2 Hz response emerged only during binary meter imagery; not present in control or ternary.,1000 Hz,Electrically shielded EEG booth,Digital EEG traces,"0.1 Hz high-pass, ICA blink removal, DFT, noise subtraction",Society for Neuroscience,"Discrete Fourier Transform, Steady-State EP amplitude extraction, ICA","Repeated-measures ANOVA, Paired t-tests, One-sample t-tests",Time-locked to beat and imagined meter (1.2 Hz),Journal of Neuroscience 31(28):10234–10240
Tagging the Neuronal Entrainment to Beat and Meter,"Sylvie Nozaradan, Isabelle Peretz, Marcus Missal, André Mouraux",2011,https://doi.org/10.1523/JNEUROSCI.0411-11.2011,NA,EEG was recorded during beat perception and imagined meter tasks to directly assess neural entrainment.,Controlled,Synthesized Music/Tone,Same 2.4 Hz beat tone with ternary (0.8 Hz) meter imagined,NA,NA,33 seconds,"Meter entrainment (ternary), Frequency-tagged EEG, Harmonics",Imagine ternary meter while listening to 2.4 Hz beat sequence,8,"Adults (3 female, 7 right-handed), mean age 30 ± 4, 3 with 15–25 years musical training, 5 amateur/dance experience","Mixed Groups, Extensive Training (>10 years)","Waveguard64 cap, ANT Neuro amplifier","64 channels, 10-10 system 4 EOG",0.8 Hz and 1.6 Hz responses emerged only during ternary imagery; no signal at those frequencies in other conditions.,1000 Hz,Electrically shielded EEG booth,Digital EEG traces,"0.1 Hz high-pass, ICA blink removal, DFT, noise subtraction",Society for Neuroscience,"Discrete Fourier Transform, Steady-State EP amplitude extraction, ICA","Repeated-measures ANOVA, Paired t-tests, One-sample t-tests",Time-locked to beat and imagined meter (0.8 and 1.6 Hz),Journal of Neuroscience 31(28):10234–10240
"DEAP: A Dataset for Emotion Analysis using EEG, Physiological and Video Signals","Sander Koelstra, Christian Mühl, Mohammad Soleymani, Jong-Seok Lee, Ashkan Yazdani, Touradj Ebrahimi, Thierry Pun, Anton Nijholt, Ioannis Patras",2012,https://doi.org/10.1109/T-AFFC.2011.15,https://www.eecs.qmul.ac.uk/mmv/datasets/deap/download.html,The DEAP dataset collected EEG and peripheral physiological signals to assess emotional responses to music videos.,Controlled,Music Videos,"Music video clips with varying ""emotion"" tags",Various,NA,60 seconds,"Valence, Arousal, Dominance, Liking, Familiarity",Watched 40 one-minute music videos and rated them on five affective dimensions,32,"Healthy adults (50% female), ages 19–37, mean age 26.9",Mixed Groups,BioSemi ActiveTwo,32 channels + 13 physiological channels,NA,512 Hz,Controlled lab setting with low illumination,Digital EEG and physiological traces,"Downsampling to 128Hz, EOG removal, Bandpass filtering (4–45Hz), Common reference reordering, Segmentation, Baseline removal",Open Data Commons PDDL,"ERP averaging, Band power, Peripheral signal correlations, Affective quadrant analysis","ANOVA, Regression (RVM), SVM classifiers, Correlation analysis","Trial start markers, Ratings onset, Fixation screens",IEEE Transactions on Affective Computing 3(1):18–31
Individual musical tempo preference correlates with EEG beta rhythm,"Bauer, Kreutz, Herrmann",2014,https://doi.org/10.1111/psyp.12375,NA,"This study explored whether an individual’s preferred tempo correlates with EEG features related to timing and motor processing, particularly beta oscillations.",Controlled,Musical Excerpt,"6–12 s nonvocal rock music excerpts in 4/4 meter, no tempo or key changes",Various,Rock Music Excerpts,6–12 seconds,"Tempo (bpm), Preferred Tempo, Motor beta frequency","Participants tapped and rated perceived tempo of music excerpts across multiple days; EEG recorded during separate tasks for alpha, gamma, and beta band analysis",12 (11 analyzed),"Healthy young adults (21–28 yrs); 6F, right-handed",Mixed (musical sophistication assessed via Gold-MSI),BrainAmp (Brain Products),32 channels,"Preferred tempo significantly correlated with individual motor beta peak frequency (r = 0.71 estimated, r = 0.64 accurate); no correlation with IAF or eGBR",500 Hz,Laboratory environment,"EEG raw signal (0.1–250 Hz), auditory tasks delivered via headphones",Artifact rejection; ICA for artifact removal; band-pass filtering (1–40 Hz); FFT; Morlet wavelet transform,© 2014 Society for Psychophysiological Research,Motor Beta (13–25 Hz); Evoked Gamma Band (30–80 Hz); Individual Alpha Frequency (8–12 Hz); FFT; ICA,Correlation analysis; repeated measures ANOVA,Button press (motor); tone onset (auditory); resting (eyes closed),"Psychophysiology, 52 (2015), 600–604"
Neural correlates of emotional responses to music: An EEG study,"Ian Daly, Asad Malik, Faustina Hwang, Etienne Roesch, James Weaver, Alexis Kirke, Duncan Williams, Eduardo Miranda, Slawomir J. Nasuto",2014,https://doi.org/10.1016/j.neulet.2014.05.003,NA,This EEG study examined how emotional responses to musical excerpts relate to brain activity by measuring gamma coherence and frontal asymmetry during passive listening followed by emotion self-ratings.,Controlled,Musical Excerpt,"Excerpt selected for high arousal/high valence, fast tempo, orchestral texture",Hans Zimmer,Batman Begins: Molossus (Track 18),15 seconds,"Valence, Arousal, Gamma band coherence, Emotion tagging","Passive listening followed by SAM ratings on valence, arousal, tension, and basic emotions",31,"Adults, median age 35 (range 18–66), 18 female, 29 right-handed",Mixed Groups,Brain Products BrainAmp,"19 channels, 10/20 system (Fp1, Fp2, F7, F3, Fz, F4, F8, T3, C3, Cz, C4, T4, T5, P3, Pz, P4, T6, O1, O2)","Higher gamma coherence was associated with higher reported arousal and valence. Left-frontal asymmetry correlated with positive valence ratings. Gamma coherence and asymmetry measures significantly predicted self-reported emotional experience, indicating neural markers of affective response to music.",1000 Hz,"Quiet lab, participants viewed a fixation cross",Digital EEG traces,"Notch filter (50Hz), bandpass 0.1–45 Hz, ICA, average reference, downsampled to 100 Hz",© 2014 Elsevier Ireland Ltd.,"Coherence, Gamma band asymmetry, Laplacian differences","Stepwise regression, Bonferroni-corrected t-tests",Time-locked to excerpt onset,Neuroscience Letters 573:52–57
Neural correlates of emotional responses to music: An EEG study,"Ian Daly, Asad Malik, Faustina Hwang, Etienne Roesch, James Weaver, Alexis Kirke, Duncan Williams, Eduardo Miranda, Slawomir J. Nasuto",2014,https://doi.org/10.1016/j.neulet.2014.05.003,NA,This EEG study examined how emotional responses to musical excerpts relate to brain activity by measuring gamma coherence and frontal asymmetry during passive listening followed by emotion self-ratings.,Controlled,Musical Excerpt,High-energy film score with uplifting brass and strings,Thomas Newman,The Rainmaker: End Title (Track 3),15 seconds,"Valence, Arousal, Gamma band coherence, Emotion tagging","Passive listening followed by SAM ratings on valence, arousal, tension, and basic emotions",31,"Adults, median age 35 (range 18–66), 18 female, 29 right-handed",Mixed Groups,Brain Products BrainAmp,"19 channels, 10/20 system (Fp1, Fp2, F7, F3, Fz, F4, F8, T3, C3, Cz, C4, T4, T5, P3, Pz, P4, T6, O1, O2)","Higher gamma coherence was associated with higher reported arousal and valence. Left-frontal asymmetry correlated with positive valence ratings. Gamma coherence and asymmetry measures significantly predicted self-reported emotional experience, indicating neural markers of affective response to music.",1000 Hz,"Quiet lab, participants viewed a fixation cross",Digital EEG traces,"Notch filter (50Hz), bandpass 0.1–45 Hz, ICA, average reference, downsampled to 100 Hz",© 2014 Elsevier Ireland Ltd.,"Coherence, Gamma band asymmetry, Laplacian differences","Stepwise regression, Bonferroni-corrected t-tests",Time-locked to excerpt onset,Neuroscience Letters 573:52–57
Neural correlates of emotional responses to music: An EEG study,"Ian Daly, Asad Malik, Faustina Hwang, Etienne Roesch, James Weaver, Alexis Kirke, Duncan Williams, Eduardo Miranda, Slawomir J. Nasuto",2014,https://doi.org/10.1016/j.neulet.2014.05.003,NA,This EEG study examined how emotional responses to musical excerpts relate to brain activity by measuring gamma coherence and frontal asymmetry during passive listening followed by emotion self-ratings.,Controlled,Musical Excerpt,Energetic electronic piece with bright synth textures and rhythmic drive,Leftfield,Shallow Grave OST: Release the Dub (Track 6),15 seconds,"Valence, Arousal, Gamma band coherence, Emotion tagging","Passive listening followed by SAM ratings on valence, arousal, tension, and basic emotions",31,"Adults, median age 35 (range 18–66), 18 female, 29 right-handed",Mixed Groups,Brain Products BrainAmp,"19 channels, 10/20 system (Fp1, Fp2, F7, F3, Fz, F4, F8, T3, C3, Cz, C4, T4, T5, P3, Pz, P4, T6, O1, O2)","Higher gamma coherence was associated with higher reported arousal and valence. Left-frontal asymmetry correlated with positive valence ratings. Gamma coherence and asymmetry measures significantly predicted self-reported emotional experience, indicating neural markers of affective response to music.",1000 Hz,"Quiet lab, participants viewed a fixation cross",Digital EEG traces,"Notch filter (50Hz), bandpass 0.1–45 Hz, ICA, average reference, downsampled to 100 Hz",© 2014 Elsevier Ireland Ltd.,"Coherence, Gamma band asymmetry, Laplacian differences","Stepwise regression, Bonferroni-corrected t-tests",Time-locked to excerpt onset,Neuroscience Letters 573:52–57
Neural correlates of emotional responses to music: An EEG study,"Ian Daly, Asad Malik, Faustina Hwang, Etienne Roesch, James Weaver, Alexis Kirke, Duncan Williams, Eduardo Miranda, Slawomir J. Nasuto",2014,https://doi.org/10.1016/j.neulet.2014.05.003,NA,This EEG study examined how emotional responses to musical excerpts relate to brain activity by measuring gamma coherence and frontal asymmetry during passive listening followed by emotion self-ratings.,Controlled,Musical Excerpt,Orchestral piece with melodic sweep and layered harmonic motion,Rachel Portman,Oliver Twist OST: Main Theme (Track 1),15 seconds,"Valence, Arousal, Gamma band coherence, Emotion tagging","Passive listening followed by SAM ratings on valence, arousal, tension, and basic emotions",31,"Adults, median age 35 (range 18–66), 18 female, 29 right-handed",Mixed Groups,Brain Products BrainAmp,"19 channels, 10/20 system (Fp1, Fp2, F7, F3, Fz, F4, F8, T3, C3, Cz, C4, T4, T5, P3, Pz, P4, T6, O1, O2)","Higher gamma coherence was associated with higher reported arousal and valence. Left-frontal asymmetry correlated with positive valence ratings. Gamma coherence and asymmetry measures significantly predicted self-reported emotional experience, indicating neural markers of affective response to music.",1000 Hz,"Quiet lab, participants viewed a fixation cross",Digital EEG traces,"Notch filter (50Hz), bandpass 0.1–45 Hz, ICA, average reference, downsampled to 100 Hz",© 2014 Elsevier Ireland Ltd.,"Coherence, Gamma band asymmetry, Laplacian differences","Stepwise regression, Bonferroni-corrected t-tests",Time-locked to excerpt onset,Neuroscience Letters 573:52–57
